AgeGrp,Activity,ActivityCode,Respiration.m3_min,QuantaEmission
6-10,"Quiet working, Seated",1,0.0048,0.9
6-10,"Speaking, Seated",2,0.0048,4.0
6-10,"Speaking loudly, Seated",3,0.0048,25.7
6-10,"Quiet working, Standing",4,0.011,1.0
6-10,"Speaking, Standing",5,0.011,4.9
6-10,"Speaking loudly, Standing",6,0.011,27.7
6-10,"Quiet, moderate activity",7,0.022,2.4
6-10,"Speaking, moderate activity",8,0.022,11.2
6-10,"Speaking loudly, moderate activity",9,0.022,72.4
6-10,"Quiet, heavy activity",10,0.042,5.7
6-10,"Speaking, heavy activity",11,0.042,26.9
6-10,"Speaking loudly, heavy activity",12,0.042,173.7
6-10,"Teaching, speaking",13,0.011,8.9
6-10,"Teaching, speaking loudly/singing",14,0.022,57.0
6-10,"Student, speaking",15,0.0048,6.8
6-10,"Student, speaking loudly/singing",16,0.011,41.3
11-15,"Quiet working, Seated",1,0.0054,1.5
11-15,"Speaking, Seated",2,0.0054,7.0
11-15,"Speaking loudly, Seated",3,0.0054,45.3
11-15,"Quiet working, Standing",4,0.013,1.7
11-15,"Speaking, Standing",5,0.013,8.5
11-15,"Speaking loudly, Standing",6,0.013,48.7
11-15,"Quiet, moderate activity",7,0.025,4.2
11-15,"Speaking, moderate activity",8,0.025,19.7
11-15,"Speaking loudly, moderate activity",9,0.025,127.2
11-15,"Quiet, heavy activity",10,0.049,10.1
11-15,"Speaking, heavy activity",11,0.049,47.2
11-15,"Speaking loudly, heavy activity",12,0.049,305.2
11-15,"Teaching, speaking",13,0.013,15.7
11-15,"Teaching, speaking loudly/singing",14,0.025,100.2
11-15,"Student, speaking",15,0.0054,12.0
11-15,"Student, speaking loudly/singing",16,0.013,72.6
16-20,"Quiet working, Seated",1,0.0053,2
16-20,"Speaking, Seated",2,0.0053,9.4
16-20,"Speaking loudly, Seated",3,0.0053,60.5
16-20,"Quiet working, Standing",4,0.012,2.3
16-20,"Speaking, Standing",5,0.012,11.4
16-20,"Speaking loudly, Standing",6,0.012,65.1
16-20,"Quiet, moderate activity",7,0.026,5.6
16-20,"Speaking, moderate activity",8,0.026,26.3
16-20,"Speaking loudly, moderate activity",9,0.026,170
16-20,"Quiet, heavy activity",10,0.049,13.5
16-20,"Speaking, heavy activity",11,0.049,63.1
16-20,"Speaking loudly, heavy activity",12,0.049,408
16-20,"Teaching, speaking",13,0.012,21
16-20,"Teaching, speaking loudly/singing",14,0.026,134
16-20,"Student, speaking",15,0.0053,16
16-20,"Student, speaking loudly/singing",16,0.012,97
21-30,"Quiet working, Seated",1,0.0042,2
21-30,"Speaking, Seated",2,0.0042,9.4
21-30,"Speaking loudly, Seated",3,0.0042,60.5
21-30,"Quiet working, Standing",4,0.012,2.3
21-30,"Speaking, Standing",5,0.012,11.4
21-30,"Speaking loudly, Standing",6,0.012,65.1
21-30,"Quiet, moderate activity",7,0.026,5.6
21-30,"Speaking, moderate activity",8,0.026,26.3
21-30,"Speaking loudly, moderate activity",9,0.026,170
21-30,"Quiet, heavy activity",10,0.05,13.5
21-30,"Speaking, heavy activity",11,0.05,63.1
21-30,"Speaking loudly, heavy activity",12,0.05,408
21-30,"Teaching, speaking",13,0.012,21
21-30,"Teaching, speaking loudly/singing",14,0.026,134
21-30,"Student, speaking",15,0.0042,16
21-30,"Student, speaking loudly/singing",16,0.012,97
31-40,"Quiet working, Seated",1,0.0043,2
31-40,"Speaking, Seated",2,0.0043,9.4
31-40,"Speaking loudly, Seated",3,0.0043,60.5
31-40,"Quiet working, Standing",4,0.012,2.3
31-40,"Speaking, Standing",5,0.012,11.4
31-40,"Speaking loudly, Standing",6,0.012,65.1
31-40,"Quiet, moderate activity",7,0.027,5.6
31-40,"Speaking, moderate activity",8,0.027,26.3
31-40,"Speaking loudly, moderate activity",9,0.027,170
31-40,"Quiet, heavy activity",10,0.049,13.5
31-40,"Speaking, heavy activity",11,0.049,63.1
31-40,"Speaking loudly, heavy activity",12,0.049,408
31-40,"Teaching, speaking",13,0.012,21
